id,description,property_type,bedrooms,bathrooms,commercial,display_address,display_status,latitude,longitude,price,first_visible_date,url,postcode,deliveryPointId,epcGraphs
91949060,4 bedroom detached house for sale,Detached,4,,False,"Lower Stock Road, West Hanningfield",Sold STC,51.66981,0.47418,1750000,2020-05-05T14:46:47Z,/properties/91949060,CM2 8UY,31445017,
99093437,5 bedroom detached house for sale,Detached,5,,False,"Pennys Lane, Margaretting",Sold STC,51.69073,0.4126,1499995,2020-10-28T13:43:44Z,/properties/99093437,CM4 0HA,33296167,
72379485,5 bedroom detached house for sale,Detached,5,0,False,"Little Baddow, Chelmsford",Sold STC,51.72879,0.55473,1450000,2020-08-06T12:17:41Z,/properties/72379485,CM3 4AY,32911426,
77720016,6 bedroom detached house for sale,Detached,6,5,False,"Shardelow Avenue, Springfield, Chelmsford, Essex, CM1",Sold STC,51.757979,0.504572,1350000,2021-02-08T16:03:33Z,/properties/77720016,CM1 6BG,37254196,
101912762,6 bedroom detached house for sale,Detached,6,2,False,"Newney Green, Chelmsford, Essex, CM1",Sold STC,51.735354,0.392052,1350000,2021-01-12T17:53:25Z,/properties/101912762,CM1 3SE,36967978,
101943176,4 bedroom detached house for sale,Detached,4,1,False,"Wheelers Hill, Little Waltham, Chelmsford, Essex, CM3",Sold STC,51.784791,0.485274,1275000,2021-01-13T14:38:24Z,/properties/101943176,CM3 3LY,22874506,
93474227,4 bedroom detached house for sale,Detached,4,,False,"The Common, Galleywood Common",Sold STC,51.69599,0.46533,1250000,2020-06-13T14:50:13Z,/properties/93474227,CM2 8JX,36497911,https://media.rightmove.co.uk/15k/14258/93474227/14258_TheRidings_EPC_00_0000.pdf
67744308,5 bedroom detached house for sale,Detached,5,4,False,"Riceen, Woodhall Hill, Chignal Smealey, Chelmsford",Sold STC,51.77218,0.43411,1250000,2020-01-20T09:05:02Z,/properties/67744308,CM1 4SY,,
90492416,4 bedroom detached house for sale,Detached,4,3,False,"Pennys Lane, Margaretting, Ingatestone, Essex, CM4",Sold STC,51.690792,0.410624,1239500,2020-03-15T18:31:53Z,/properties/90492416,CM4 0HA,33296128,
71882049,4 bedroom detached house for sale,Detached,4,0,False,"Sandon, Chelmsford",Sold STC,51.70602,0.53912,1150000,2020-07-15T16:43:58Z,/properties/71882049,CM2 7RW,33145645,
102528218,4 bedroom detached house for sale,Detached,4,2,False,"Comyns Place, Writtle, Chelmsford, Essex, CM1",Sold STC,51.729449,0.426193,1100000,2021-02-05T17:28:30Z,/properties/102528218,CM1 3ES,22717954,
97337840,4 bedroom detached house for sale,Detached,4,,False,"Longstomps Avenue, Chelmsford",Sold STC,51.7165,0.46471,1100000,2020-09-17T10:57:21Z,/properties/97337840,CM2 9BZ,33709666,https://media.rightmove.co.uk/15k/14258/97337840/14258_LongstompsAve_EPC_00_0000.pdf
83654360,5 bedroom detached house for sale,Detached,5,,False,"North Drive, Chelmsford, Essex, CM2",Sold STC,51.72072,0.4994,1000000,2019-07-30T16:56:31Z,/properties/83654360,CM2 7EU,19929349,
103995647,4 bedroom detached house for sale,Detached,4,1,False,"Tanfield Farm, Tanfield Tye, West Hanningfield, CM2",Sold STC,51.68353,0.497714,1000000,2021-03-12T16:51:56Z,/properties/103995647,CM2 8UD,,
72255858,5 bedroom detached house for sale,Detached,5,3,False,"Woodcroft, East Hanningfield Road, Sandon, Chelmsford",Sold STC,51.69886,0.53307,1000000,2020-08-03T09:15:12Z,/properties/72255858,CM2 7TQ,,
77368866,4 bedroom detached house for sale,Detached,4,4,False,Sandon,Sold STC,51.714767,0.535785,1000000,2021-01-22T10:04:25Z,/properties/77368866,CM2 7SE,30686506,
91745591,4 bedroom detached house for sale,Detached,4,,False,Galleywood Common,Sold STC,51.69599,0.46533,995000,2020-04-28T19:41:35Z,/properties/91745591,CM2 8JX,36497911,https://media.rightmove.co.uk/15k/14258/91745591/14258_Littlemead_EPC_00_0000.pdf
77914605,4 bedroom detached house for sale,Detached,4,3,False,"Chalklands, Howe Green, Sandon",Sold STC,51.698867,0.52944,950000,2021-02-15T10:53:54Z,/properties/77914605,CM2 7TH,35873062,
